image_id,file_name,block,algorithm,resolution,pck,kp_vis,kp_det,tiempo_ms
140987,000000140987.jpg,indoor,blazepose,medium,100.0,6,17,70.4
12280,000000012280.jpg,indoor,blazepose,medium,0.0,13,0,9.7
142620,000000142620.jpg,indoor,blazepose,high,100.0,13,17,70.8
432085,000000432085.jpg,indoor,blazepose,medium,100.0,5,17,70.7
16228,000000016228.jpg,outdoor,blazepose,high,0.0,12,0,9.6
458109,000000458109.jpg,outdoor,movenet,high,0.0,2,0,18.4
213255,000000213255.jpg,outdoor,movenet,high,100.0,11,14,18.4
302452,000000302452.jpg,indoor,movenet,low,0.0,8,9,17.6
97337,000000097337.jpg,indoor,blazepose,low,0.0,8,0,70.3
565853,000000565853.jpg,indoor,blazepose,medium,100.0,12,17,70.1
554595,000000554595.jpg,outdoor,blazepose,low,0.0,13,0,70.3
213033,000000213033.jpg,outdoor,blazepose,low,100.0,13,17,70.3
424551,000000424551.jpg,outdoor,blazepose,high,100.0,15,17,70.4
221291,000000221291.jpg,outdoor,movenet,low,100.0,12,13,18.2
309655,000000309655.jpg,outdoor,movenet,low,100.0,13,17,18.0
97337,000000097337.jpg,indoor,blazepose,medium,0.0,8,0,9.4
173008,000000173008.jpg,indoor,blazepose,medium,100.0,12,17,70.2
109313,000000109313.jpg,indoor,blazepose,high,100.0,14,17,70.2
140987,000000140987.jpg,indoor,blazepose,high,100.0,6,17,92.6
201426,000000201426.jpg,indoor,movenet,low,90.0,10,10,18.2
82085,000000082085.jpg,outdoor,movenet,medium,86.67,15,15,17.7
432553,000000432553.jpg,outdoor,movenet,medium,66.67,3,4,17.2
278973,000000278973.jpg,outdoor,movenet,medium,92.86,14,13,17.5
388927,000000388927.jpg,indoor,movenet,high,0.0,4,1,17.6
424551,000000424551.jpg,outdoor,movenet,low,93.33,15,16,17.9
326128,000000326128.jpg,outdoor,blazepose,high,100.0,15,17,70.5
356387,000000356387.jpg,outdoor,blazepose,high,0.0,9,0,9.3
289222,000000289222.jpg,outdoor,movenet,low,100.0,5,15,18.6
311303,000000311303.jpg,indoor,movenet,high,100.0,1,1,17.1
454067,000000454067.jpg,indoor,blazepose,medium,100.0,9,17,70.5
447611,000000447611.jpg,indoor,blazepose,high,0.0,1,0,9.4
343218,000000343218.jpg,outdoor,movenet,medium,100.0,15,16,18.4
82696,000000082696.jpg,indoor,movenet,high,75.0,4,4,18.2
286422,000000286422.jpg,outdoor,movenet,medium,100.0,13,17,17.8
275058,000000275058.jpg,outdoor,blazepose,low,0.0,12,0,69.9
330818,000000330818.jpg,indoor,movenet,medium,90.0,10,13,17.8
396200,000000396200.jpg,outdoor,movenet,high,0.0,16,17,17.9
546219,000000546219.jpg,indoor,movenet,medium,0.0,9,11,18.2
458109,000000458109.jpg,outdoor,blazepose,low,0.0,2,0,9.4
455597,000000455597.jpg,indoor,movenet,medium,0.0,5,6,19.4
455301,000000455301.jpg,indoor,blazepose,medium,100.0,10,17,70.8
164602,000000164602.jpg,indoor,movenet,low,100.0,12,13,18.2
311303,000000311303.jpg,indoor,blazepose,low,0.0,1,0,70.1
389684,000000389684.jpg,outdoor,blazepose,low,0.0,14,0,9.2
425221,000000425221.jpg,outdoor,blazepose,low,100.0,8,17,70.2
491090,000000491090.jpg,outdoor,blazepose,medium,100.0,14,17,70.3
492937,000000492937.jpg,outdoor,movenet,high,100.0,6,10,18.3
481567,000000481567.jpg,outdoor,movenet,high,100.0,10,16,18.1
311180,000000311180.jpg,indoor,movenet,low,0.0,1,0,17.1
463730,000000463730.jpg,outdoor,movenet,high,100.0,16,17,17.7
333745,000000333745.jpg,outdoor,movenet,low,100.0,16,17,18.2
180101,000000180101.jpg,indoor,blazepose,high,0.0,11,17,70.5
388927,000000388927.jpg,indoor,blazepose,medium,0.0,4,17,70.5
345397,000000345397.jpg,indoor,movenet,low,100.0,5,9,18.5
559543,000000559543.jpg,indoor,blazepose,medium,100.0,11,17,70.3
261318,000000261318.jpg,indoor,blazepose,low,0.0,13,0,70.1
65350,000000065350.jpg,outdoor,blazepose,high,100.0,15,17,70.4
426836,000000426836.jpg,outdoor,blazepose,medium,0.0,12,0,9.5
61747,000000061747.jpg,outdoor,blazepose,high,100.0,15,17,70.0
173302,000000173302.jpg,indoor,blazepose,low,0.0,7,0,9.4
398377,000000398377.jpg,indoor,movenet,high,6.67,15,15,18.1
